date,capacity_factor
03-Oct,0.260075
04-Oct,0.252345833
05-Oct,0.230133333
06-Oct,0.223858333
07-Oct,0.203195833
08-Oct,0.23205
09-Oct,0.2748
10-Oct,0.2185875
11-Oct,0.2132
12-Oct,0.2604
13-Oct,0.260716667
14-Oct,0.213695833
15-Oct,0.235675
16-Oct,0.210345833
17-Oct,0.214266667
18-Oct,0.23535
19-Oct,0.255341667
20-Oct,0.247025
21-Oct,0.219054167
22-Oct,0.2206125
23-Oct,0.188029167
24-Oct,0.198975
25-Oct,0.22081405
26-Oct,0.217564315
27-Oct,0.216145228
28-Oct,0.167282158
29-Oct,0.183636364
30-Oct,0.195942149
31-Oct,0.190103734
01-Nov,0.2015875
02-Nov,0.231741667
03-Nov,0.2087625
04-Nov,0.177833333
05-Nov,0.229166667
06-Nov,0.211416667
07-Nov,0.1754
08-Nov,0.153133333
09-Nov,0.198716667
10-Nov,0.1922375
11-Nov,0.182795833
12-Nov,0.143604167
13-Nov,0.175983333
14-Nov,0.189658333
15-Nov,0.18925
16-Nov,0.148079167
17-Nov,0.1450875
18-Nov,0.160075
19-Nov,0.165204167
20-Nov,0.17115
21-Nov,0.182195833
22-Nov,0.182466667
23-Nov,0.1466125
24-Nov,0.159483333
25-Nov,0.188045833
26-Nov,0.140658333
27-Nov,0.128879167
28-Nov,0.1212625
29-Nov,0.12065
30-Nov,0.14455
01-Dec,0.160708333
02-Dec,0.156816667
03-Dec,0.13855
04-Dec,0.1127875
05-Dec,0.176545833
06-Dec,0.211033333
07-Dec,0.147354167
08-Dec,0.196920833
09-Dec,0.177870833
10-Dec,0.121575
11-Dec,0.118995833
12-Dec,0.160766667
13-Dec,0.137333333
14-Dec,0.1383875
15-Dec,0.134816667
16-Dec,0.104133333
17-Dec,0.169520833
18-Dec,0.148595833
19-Dec,0.170175
20-Dec,0.183041667
21-Dec,0.170291667
22-Dec,0.1794125
23-Dec,0.196029167
24-Dec,0.231304167
25-Dec,0.1936875
26-Dec,0.1939
27-Dec,0.168479167
28-Dec,0.148016667
29-Dec,0.141458333
30-Dec,0.110316667
31-Dec,0.122108333
