date,capacity_factor
29-Sep,0.517328952
30-Sep,0.470956671
01-Oct,0.442497758
02-Oct,0.472143333
03-Oct,0.460386115
04-Oct,0.444446552
05-Oct,0.369638254
06-Oct,0.371859625
07-Oct,0.384195927
08-Oct,0.315173779
09-Oct,0.325535385
10-Oct,0.274010315
11-Oct,0.434107742
12-Oct,0.513828777
13-Oct,0.404251152
14-Oct,0.328347477
15-Oct,0.448794577
16-Oct,0.440245758
17-Oct,0.44755924
18-Oct,0.44081844
19-Oct,0.354194388
20-Oct,0.354737544
21-Oct,0.363289992
22-Oct,0.39252099
23-Oct,0.360301344
24-Oct,0.433284633
25-Oct,0.516793027
26-Oct,0.510190766
27-Oct,0.499576402
28-Oct,0.57835466
29-Oct,0.459342771
30-Oct,0.374339798
31-Oct,0.434368006
01-Nov,0.514766329
02-Nov,0.450769138
03-Nov,0.3572194
04-Nov,0.433004094
05-Nov,0.383557102
06-Nov,0.438603569
07-Nov,0.523052629
08-Nov,0.429014204
09-Nov,0.380546663
10-Nov,0.456680985
11-Nov,0.437181481
12-Nov,0.406681498
13-Nov,0.301518792
14-Nov,0.276599044
15-Nov,0.401663325
16-Nov,0.349209917
17-Nov,0.347269373
18-Nov,0.344313058
19-Nov,0.427118869
20-Nov,0.523659735
21-Nov,0.532378815
22-Nov,0.497649577
23-Nov,0.443133783
24-Nov,0.40284619
25-Nov,0.556018544
26-Nov,0.513242781
27-Nov,0.52767485
28-Nov,0.492310558
29-Nov,0.575052069
30-Nov,0.563362308
01-Dec,0.497423085
02-Dec,0.413645585
03-Dec,0.402921658
04-Dec,0.387465442
05-Dec,0.448037338
06-Dec,0.409124256
07-Dec,0.331871315
08-Dec,0.39694419
09-Dec,0.454248129
10-Dec,0.524815625
11-Dec,0.479764965
12-Dec,0.461820725
13-Dec,0.399776704
14-Dec,0.437469498
15-Dec,0.478947067
16-Dec,0.496820106
17-Dec,0.564002158
18-Dec,0.475405815
19-Dec,0.495960217
20-Dec,0.352719433
21-Dec,0.499546469
22-Dec,0.485145627
23-Dec,0.403978348
24-Dec,0.350966592
25-Dec,0.363913108
26-Dec,0.486333404
27-Dec,0.430930698
28-Dec,0.470912138
29-Dec,0.463457477
30-Dec,0.58043045
31-Dec,0.601083931
